,DateOccured,DateReported,Location,Duration
63,19950804,19950804," Lynnwood, WA",
64,19950730,19950730," Highpoint, NC",2 sec.
65,19950612,19950612," Fort Wayne, IN",30 min.
66,19951113,19951117," Lake Oswego, OR",12 min.
67,19950312,19950312," Columbia, SC",30 sec.
68,19950720,19950720," Port Orchard, WA",25 min.
69,19950415,19950416," Earlville, PA",30 sec.
70,19950822,19950823," Phoenix, AZ",30 sec.
71,19950131,19950131," Alexandria, LA",2 min.
72,19950914,19950914," Mason, MI",40 sec.
73,19951002,19951002," N. Providence, RI",3 min.
74,19950716,19950718," Cherry Hill, NJ",
75,19951003,19951003," Volinda, CA",
76,19951027,19951027," Siletz, OR",15 min.
77,19950611,19950615," Ogden, UT",2 min.
78,19950210,19950426," Cannon Beach, OR",10 sec.
79,19950823,19950823," Puyallup, WA",10 sec.
80,19950317,19950322," Evington, VA",2 min.
81,19950630,19950706," Port Angeles, WA",5 days
82,19950929,19950929," Manchester, ME",10 min.
83,19950929,19950929," San Francisco, CA",6 sec.
84,19951104,19951108," Alfalfa, OR",10 sec.
85,19950924,19951009," Maple Valley, WA",45 sec.
86,19950724,19950726," Arlington, IL",20 sec.
87,19950817,19950821," Granite, WA",15 min.
88,19950315,19950318," S. Greensburg, PA",
89,19950619,19950620," Cottonwood, CA",90 sec.
90,19950403,19950404," Bakersfield, CA",3 hrs.
91,19950618,19950619," Fall River, MA",2 min.
92,19950420,19950420," Watauga, TX",15 sec.
93,19950914,19950914," Douglas, AZ",15 min.
94,19951112,19951112," Las Vegas, NV",45 min.
95,19951029,19951029," Kodak, TN",1 min.
96,19950425,19950425," Brooklyn, OH",
97,19950102,19950102," New Port Richey, FL",15 Sec.
98,19950805,19950806," Woodland, WA",2 sec.
99,19950826,19950829," Phoenix, AZ",3 min.
100,19950624,19950624," Snoqualmie, WA",2 sec.
101,19951111,19951111," Rock Island, WA",20 sec.
102,19951001,19951002," Piedmont, CA",
103,19950509,19950517," Vista, CA",10 min.
104,19950306,19950307," Burley, WA",20 sec.
105,19950611,19950612," Tacoma, WA",2 min.
106,19950707,19950728," Canada, BC",10 sec.
107,19950728,19950729," Racine, WI",2 min.
108,19950830,19950830," Bakersfield, CA",
109,19950210,19950210," Seattle, WA",30 sec
110,19950904,19950904," Colorado Springs, CO",
111,19951002,19951002," Santa Rosa, CA",25 sec.
112,19950925,19951001," Lake Oswego, OR",
113,19950206,19950206," Bloomington, IL",5 min
114,19950826,19950914," Provo, UT",3 min.
115,19950223,19950320," Redding, CA",
116,19950815,19950817," Arcadia Shores, WA",2 sec.
117,19950923,19951001," Lake Oswego, OR",
118,19950117,19950117," Bend, OR",73 min.
119,19951007,19951007," Wolf Lake, MI",
120,19950728,19950731," Clarksville, VA",80 min.
121,19950108,19950108," Horton, MI",
122,19950314,19950314," Wenatchee, WA",5 sec.
123,19950918,19950921," Wilcox, AZ",1 min.
124,19950516,19950516," Hillsborough, NJ",
125,19951002,19951003," Garberville, CA",
126,19950203,19950304," Fontana, CA",20 min
127,19950928,19950929," Napa, CA",
128,19950621,19950621," Cameron, MO",1 hr.
129,19950204,19950204," Redondo Beach, CA",
130,19950524,19950524," Jeannette, PA",1 min.
131,19950216,19950217," PawPaw, MI",
132,19950920,19950920," Reno, NV",1 hr.
133,19950925,19950925," Polson, MT",
134,19950422,19950801," Milpitas, CA",
135,19951103,19951103," Belmont, CA",2 sec.
136,19950513,19950514," Tampa, FL",3 sec.
137,19950603,19950604," Olympia, WA",1 min.
138,19950401,19950402," Mountlake Terrace (Seattle), WA",
139,19950124,19950124," Midland, TX",20 sec.
140,19950125,19950221," Joyce, WA",WA
141,19950923,19950926," Washington County, OR",
142,19951031,19951031," Tacoma, WA",2 min.
143,19951101,19951101," Bothell, WA",2 sec.
144,19951031,19951101," West Hartford, CT",20 sec.
145,19950317,19950318," Boulder Creek, CA",30 sec.
146,19950920,19950920," Black Shear, GA",4 hrs.
147,19951111,19951112," Kirkland, WA",10 sec.
148,19950202,19950202," Shady Grove, OR",15 min
149,19950107,19950107," McMinnville, TN",30 min.
150,19950912,19950912," Leadville, CO",2 min.
151,19950227,19950301," Mukilteo, WA",1 sec.
152,19950131,19950131," Eaton Rapids, MI",6 min.
153,19950611,19950612," Modesto, CA",10 sec.
154,19950702,19950702," Winnemucca, NV",2 sec.
155,19950503,19950514," Amsterdam, NY",4 min.
156,19950814,19950814," Snoqualmie Pass, WA",10 sec.
157,19950715,19950715," Seattle, WA",2 min.
158,19950611,19950611," Puyallup, WA",
159,19950723,19950801," Snake River, ID",15 sec.
160,19950109,19950109," Port Charlotte, FL",1 min.
161,19950607,19950612," Albany, CA",2 min.
162,19950325,19950507," Burien, WA",
163,19950325,19950327," Fort Wayne, IN",15 min.
164,19950912,19950913," W. New Brunswick, NJ",6 sec.
165,19950812,19950816," Naples, FL",
166,19950827,19950828," Medford, OR",15 sec.
167,19950410,19950410," Tajunga, CA",7sec.
168,19950819,19950820," Hayworth, IL",
169,19950215,19950215," Fair Oaks, NY",
170,19950519,19950523," Federal Way, WA",90 sec.
171,19941229,19950103," Lakeview, MI",5 min.
172,19950122,19950122," Seattle, WA",5 sec.
173,19950226,19950226," Mt. Vernon, WA",30 min.
174,19950806,19950807," Bakersfield, CA",
175,19950802,19950802," Stanwood, WA",1 sec.
176,19950306,19950306," Columbus, OH",3 min.
177,19950324,19950324," North Dade, FL",2 sec.
178,19950922,19950922," Lake Charles, LA",3 min.
179,19951111,19951111," Solvang, CA",10 min.
180,19950212,19950212," Elisabethtown, KY",75 min.
181,19950625,19950625," Tumwater, WA",25 min.
182,19950122,19950123," Vienna, VA",2 sec.
183,19950617,19950623," Toledo, OH",
184,19950831,19950831," Mukilteo, WA",20 min.
185,19951104,19951108," Chelan, WA",
186,19950319,19950319," Jacksonville, FL",
187,19950103,19950103," Gladstone, OR",
188,19930101,19950210," Reedborough, VT",
189,19950826,19950828," Williston, ND",10 min.
190,19951117,19951117," Fall River, MA",10 sec.
191,19950623,19950623," Monroe, WA",
192,19950820,19950820," Beaverton, OR",
193,19950206,19950206," Nine Mile Falls, WA",5 min
194,19950614,19950614," Miami, FL",5 min.
195,19950506,19950508," Huntington, NY",
196,19951110,19951110," Auburn, WA",10 sec.
197,19950313,19950313," Seattle, WA",5 min.
198,19950309,19950309," Plant City, FL",1 hr.
199,19950609,19950609," Arlington, WA",90 sec.
200,19951118,19951118," Seattle, WA",
201,19950208,19950210," Tillamook, OR",
202,19950310,19950310," Portland, OR",2 sec.
203,19950822,19950822," Fontana, CA",2 min.
204,19950220,19950220," Seattle, WA",
205,19950913,19950913," Missoula, MT",45 min.
206,19950515,19950524," McKenzie, TN",
207,19950601,19950601," Carson City, NV",15 sec.
208,19950902,19950905," New York City (Manhattan), NY",45 sec.
209,19951016,19951016," Scofield Barracks, HI",30 min.
210,19950315,19950315," Gainesville, FL",5 sec.
211,19950314,19950314," Seattle, WA",2 sec.
212,19950131,19950131," Spanaway, WA",40
213,19950731,19950801," Morris Plains, NJ",3.5 hrs.
214,19950316,19950320," Toledo, OH",
215,19950212,19950215," McKinleyville, CA",15 sec.
216,19950720,19950720," Bellevue, WA",3 min.
217,19950806,19950810," Moosehead Lake, ME",10 min.
218,19950512,19950605," Madison, WI",
219,19950210,19950210," Billings, MT",
220,19950223,19950223," Snohomish, WA",10 min.
221,19950318,19950318," Bakersfield, CA",30 sec.
222,19950112,19950112," Olalla, WA",
223,19950112,19950112," Snohomish, WA",20 Min.
224,19950223,19950223," Seattle, WA",.
225,19950117,19950117," Seattle, WA",45 min.
226,19950519,19950520," Mt. Jackson, VA",
227,19950330,19950330," Fort Wayne, IN",
228,19950410,19950410," Goleta, CA",5 sec.
229,19950307,19950308," Tucumcari, NM",3 sec.
230,19950729,19950801," Portland, OR",
231,19950422,19950422," Bakersfield, CA",
232,19950919,19950919," Johnson City, TN",
233,19950104,19950104," Rodney, MI",
234,19951119,19951119," Phoenix, AZ",5 min.
235,19950123,19950123," Ladysmith, WI",20 min.
236,19950813,19950813," Coon Valley, WI",20 min.
237,19950807,19950808," Berthid, CO",3 hrs.
238,19950611,19950612," Fairfield, CA",2 sec.
239,19951018,19951019," Grass Lake, MI",1 min.
240,19950416,19950416," Tacoma, WA",2 min.
241,19950820,19950820," Culver City, CA",5 min.
242,19950221,19950221," Sprague River, OR",
243,19951024,19951024," Hollister, CA",1 min.
244,19950314,19950422," North Judson, IN",
245,19950306,19950306," Ft. Bragg, CA",30 sec.
246,19950302,19950303," Redmond, WA",20 sec.
247,19950804,19950817," Crescent Lake, WA",20 sec..
248,19950709,19950711," Versailles, MO",5 hrs.
249,19950330,19950331," Honolulu, HI",
250,19950808,19950811," Clearwater, FL",2.5 hrs.
251,19950627,19950628," Endicott, NY",
252,19950216,19950218," Kalamazoo, MI",5 min
253,19950326,19950327," Scottsdale, AZ",15 min.
254,19950219,19950219," Whiteman AFB, MO",
255,19950403,19950403," Haslett, MI",2 min.
256,19950806,19950818," Lacey, WA",1 min.
257,19950916,19950918," Merlin, OR",
258,19941208,19950101," McCall, ID",10 seconds (?)
259,19950627,19950718," Cherry Hill, NJ",1 min.
260,19950715,19950715," Seattle, WA",2 min.
261,19950911,19950911," Salt Lake City, UT",1 min.
262,19950220,19950308," Warren, IL",30 sec.
263,19950216,19950216," Albuquerque, NM",
264,19950413,19950414," Brooklyn, AR",2 sec.
265,19950118,19950118," Deer Lodge, MT",1 hour
266,19950413,19950413," Pottstown, PA",
267,19950423,19950518," MM 99 mile Exit/I-5, WA",15 sec.
268,19951001,19951001," Lake Oswego, OR",5 sec.
269,19950226,19950227," Tallassee, TN",
270,19950720,19950720," Vista, CA",5 min.
271,19950802,19950802," Lynnwood, WA",3 sec.
272,19950216,19950217," Kalamazoo, MI",5 min.
273,19950202,19950219," Eastport, MI",
274,19950821,19950820," La Crosse, WI",2 min.
275,19950806,19950806," Bakersfield, CA",5 sec.
276,19950813,19950815," Redmond, WA",1 min.
277,19950222,19950222," Woodinville, WA",15 min.(?)
278,19950825,19950825," Monticello, NY",6 sec.
279,19950118,19950118," Grangeville, ID",
280,19950419,19950419," Clovis, CA",90 sec.
281,19950628,19950712," New Providence, NJ",1-2 min.
282,19951002,19951002," Farmington, MN",5 sec.
283,19950716,19950716," Macon, GA",1 min.
284,19950728,19950728," Bakersfield, CA",20 min.
285,19950216,19950216," Johnson City, TN",
286,19950810,19950814," Oakland, CA",
287,19950119,19950120," Richland, WA",1 min.
288,19950830,19950831," Travis AFB, CA",3 min.
289,19950624,19950626," Farmingdale, NY",10 min.
290,19951013,19951019," Crescent City, CA",10 min.
291,19950325,19950325," Auburn, WA",1 sec.
292,19950908,19950908," Portland, OR",
293,19951001,19951001," Lake Oswego, OR",90 sec.
294,19950711,19950807," Fircrest, WA",20 sec.
295,19950421,19950421," Hansville, WA",
296,19950628,19950711," Tacoma, WA",30 sec.
297,19950114,19950114," Beaverton, OR",
298,19950306,19950307," Mountain City, TN",1 min.
299,19950103,19950103," Seattle, WA",0.5 sec.
300,19950511,19950511," Palm Desert, CA",45 min.
301,19950518,19950519," Las Vegas, NV",1 hr.
302,19951117,19951117," Sector 18, NY",5 sec.
303,19950202,19950212," Seatac, WA",
304,19950811,19950811," Beaverton, OR",15 sec.
305,19950314,19950314," Seattle, WA",2 sec.
306,19950204,19950204," Port Hadlock, WA",
307,19950422,19950421," Louisville, KY",
308,19950619,19950620," Adair County, IA",5 hrs.
309,19950219,19950219," Phoenix, AZ",
310,19950315,19950315," Fairmont, WV",1 sec.t
311,19950106,19950107," Warm Beach, WA",10 sec.
312,19950205,19950205," Atlanta, GA",
313,19950513,19950514," Framingham, MA",10 min.
314,19950215,19950215," Santa Rosa, CA",5 sec
315,19950912,19950912," Orangeburg, NY",15 min.
316,19950223,19950225," El Centro, CA",
317,19950815,19950817," Tacoma, WA",5 sec.
318,19950804,19950804," Santa Rosa, CA",
319,19951014,19951016," Sandpoint, ID",20 sec.
320,19950515,19950515," N. Seattle, WA",30 sec.
321,19950925,19950926," Flushing, MI",
322,19900101,19950210," Minneapolis, MN",
323,19950425,19950425," Grape Creek, IL",3 sec.
324,19950830,19950830," Fresno, CA",
325,19950402,19950402," Knoxville, TN",
326,19951103,19951103," Maryland Hts., MO",3 min.
327,19950322,19950322," Bedford, VA",1 hr.
328,19950115,19950116," Poulsbo, WA",2 min.
329,19950327,19950404," San Francisco, CA",
330,19950317,19950318," Flint, MI",15 min.
331,19950616,19951007," Freeport, FL",
332,19950922,19950922," Virginia Beach, VA",
333,19950815,19950815," Vashon Island, WA",2 sec.
334,19950930,19950930," Troy, ME",
335,19951001,19951002," Iowa City, IA",20 sec.
336,19950329,19950329," Mt. Ranch, CA",
337,19950823,19950823," Louisville, KY",10 min.
338,19950402,19950402," Smith River, CA",20 min.
339,19950202,19950203," Traverse City, MI",2 min (?)
340,19950308,19950309," Byron Center, MI",
341,19950325,19950326," Monterey, CA",
342,19950529,19950529," Fairfield, CA",20 sec.
343,19950523,19950524," Brawley, CA",6 sec.
344,19950111,19950129," Seatac, WA",
345,19950521,19950521," Fox Chapel, PA",20 min.
346,19950115,19950124," Gorham, ME",2 weeks
347,19950514,19950513," Dayton, OR",
348,19951001,19951001," Vacaville, CA",
349,19950105,19950105," Shelby, MT",2 min.
350,19950609,19950609," Fontana, CA",15 min.
351,19950910,19950910," Auburn, WA",25 min.
352,19950222,19950226," Kent, WA",
353,19950727,19950728," Riverside, CA",20 min.
354,19950314,19950316," Seattle, WA",
355,19950528,19950528," Eagle Creek, OR",45 sec.
356,19950203,19950208," Romulus, MI",
357,19951007,19951007," West Valley City, UT",
358,19941230,19950103," Roy, WA",3 min
359,19950822,19950822," Tempe, AZ",15 sec.
360,19950512,19950512," Edwards AFB, CA",
361,19950725,19950727," Ocate, NM",2 min
362,19950222,19950302," Mill Creek, WA",3 min.
363,19930114,19950609," So. Cal., CA",5 min.
364,19950829,19950831," La Habra, CA",
365,19950528,19950529," St. Louis, MO",
366,19950224,19950225," Cam Highway (?), HI",
367,19950311,19950312," Fort Wayne, IN",20 min.
368,19950622,19950628," Raton, NM",5 min.
369,19950315,19950315," Jefferson City, MO",6 sec.
370,19951028,19951028," Greenwood, CA",3 hrs.
371,19950130,19950131," Olympia, WA",
372,19950825,19950824," Greensburg, PA",
373,19951103,19951106," Albany, NY",3 nights
374,19950216,19950217," Des Plaines, IL",
375,19950421,19950422," Oregon, IL",60 sec.
376,19951001,19951002," Austin, TX",90 min.
377,19950519,19950519," W. Salem, OR",20 min.
378,19950324,19950324," Las Vegas, NV",
379,19950918,19950918," Kansas City, KS",
380,19950130,19950130," Harrisburg, PA",
381,19950603,19950603," Gardendale, LA",
382,19950625,19950626," Batesburg, SC",50 sec.
383,19950818,19950818," Salt Lake City, UT",25 min.
384,19950528,19950528," Bellevue, WA",2 sec.
385,19951110,19951110," Beaverton, OR",40 min.
386,19950419,19950419," Augusta, ME",
387,19950918,19950918," N. Kingston, RI",90 min.
388,19950808,19950808," Portland, OR",10 sec.
389,19950312,19950313," Leavenworth, KS",3 hrs.
390,19950215,19950215," Nashville, TN",10 sec.
391,19950826,19950826," Auburn, WA",5 min.
392,19950609,19950613," Pacific Ocean,",1 min.
393,19950329,19950401," Elma, WA",
394,19950220,19950220," Albuquerque, NM",
395,19951013,19951013," Tacoma, WA",3 min.
396,19950319,19950320," Patricia, TX",
397,19950731,19950801," Trenton, NJ",
398,19951031,19951031," Startup, WA",4 min.
399,19950604,19950605," Addison, TX",
400,19950822,19950822," Fontana, CA",10 min.
401,19941231,19950105," Fontana, CA",10 min.
402,19950828,19950828," Mass City, MI",4 sec.
403,19950806,19950807," Redwood, CA",45 min.
404,19950308,19950308," Lake Jackson, TX",
405,19951101,19951101," Sedro Woolley, WA",30 min.
406,19950311,19950311," Las Vegas, NV",
407,19950529,19950609," Auburn, WA",4 sec.
408,19950930,19951002," N. Providence, RI",
409,19950325,19950325," Redmond, WA",5 min.
410,19950325,19950326," Grover Beach, CA",
411,19950914,19950914," Clairton, PA",10 min.
412,19950521,19950522," Woburn, MA",
413,19950722,19950722," Redding, CA",20 min.
414,19950419,19950626," Pembrook Pines, FL",10 sec.
415,19950910,19950910," Las Vegas, NV",8 min.
416,19950515,19950516," Portland, OR",5 min.
417,19950924,19950924," Lynnwood, WA",
418,19950527,19950528," Arlington, WA",2 sec.
419,19950826,19950827," Dade County, FL",
420,19950804,19950808," Hazel Dell, WA",90 sec.
421,19950812,19950812," Bellevue, WA",30 min.
422,19950925,19950926," Salt Lake City, UT",8 sec.
423,19950905,19950905," Boise, ID",30 min.
424,19950131,19950131," Mason, MI",3 min.
425,19940726,19950509," Boring, OR",
426,19951019,19951031," Rocky Point, WA",1 min.
427,19950919,19950921," Humbolt, CA",
428,19950827,19950828," Oregon City, OR",30 sec.
429,19951014,19951014," Madison, WI",6 min.
430,19950728,19950729," Seattle, WA",5 min.
431,19940512,19950124," Mitchell, OR",2 sec.
432,19950804,19950817," Shelton, WA",1-2 sec.
433,19950524,19950524," East Aurora, IL",
434,19950304,19950404," Folsom, NJ",3 sec.
435,19951117,19951118," Basking Ridge, NJ",4 sec.
436,19950218,19950222," Kalamazoo, MI",
437,19951017,19951018," Crescent City, CA",5 min.
438,19950330,19950330," Eugene, OR",
439,19940713,19950508," Canby, OR",
440,19950329,19950921," Rainsville, AL",
441,19950315,19950317," Litchfield, IL",
442,19951030,19951031," Seattle, WA",30 min.
443,19950814,19950814," Tacoma, WA",5 min.
444,19950811,19950811," Sacramento, CA",2 min.
445,19950813,19950814," Ft. Dick, CA",
446,19951106,19951106," Lebanon, OR",5 min.
447,19950207,19950207," Tidewater, OR",
448,19950913,19950912," Superior, AZ",30 min.
449,19950209,19950209," Huntington Beach, CA",
450,19950831,19950921," Randolph, NJ",2 min.
451,19950204,19950206," Lynnwood, WA",
452,19950221,19950221," Lynnwood, WA",10 sec.
453,19950209,19950220," Vancouver, WA",
454,19950315,19950315," Grain Valley, MO",10 min.
455,19950903,19950905," Virginia Beach, VA",40 min.
456,19950807,19950807," Bakersfield, CA",90 min.
457,19951015,19951017," Godfrey, IL",40 min
458,19951014,19951017," Abilene, KS",
459,19950715,19950715," Auburn, WA",1 min.
460,19950703,19950823," Inspiration Pt., CA",30 sec.
461,19951119,19951119," Carson City, NV",2 sec.
462,19950529,19950611," Jamestown, CA",4 sec.
463,19950327,19950410," Florence, OR",15 min.
464,19950228,19950228," Electric City, WA",
465,19950307,19950309," Portland, OR",
466,19950825,19950824," Edinboro, PA",20 sec.
467,19951117,19951117," Simsbury, CT",2 sec.
468,19951107,19951108," Rockland, CA",
469,19951103,19951103," West Seattle, WA",
470,19950416,19950417," Medford, MA",10 sec.
471,19950311,19950312," Chesapeake, VA",5 min.
472,19790801,19950603," Twenty Nine Palms, CA",
473,19950410,19950412," Apple Valley, CA",3 min.
474,19950208,19950208," North Bend, WA",105 min
475,19950217,19950217," Seatac, WA",
476,19951019,19951019," Beaverton, OR",45 sec.
477,19950307,19950326," Bellevue, WA",15 sec.
478,19950422,19950422," Oregon City, OR",1 hr.
479,19951117,19951117," Seymour-Johnson AFB, NC",
480,19950329,19950330," Ventura, CA",45 sec.
481,19950611,19950612," Cleburne, TX",6 min.
482,19951111,19951111," Eugene, OR",10 min.
483,19950315,19950316," Collinsville, IL",
484,19950526,19950529," Vinton, LA",10 sec.
485,19941231,19950101," Orem, UT",5 min.
486,19950823,19950828," Upland, CA",
487,19950414,19950417," Boston, MA",
488,19950825,19950824," Adamsville, PA",10 sec.
489,19950719,19950719," Sacramento, CA",5 min.
490,19950416,19950416," Carrollton, GA",
491,19950204,19950204," Prescott, AZ",
492,19950703,19950702," Glendale, AZ",
493,19950120,19950120," Branford, CT",5 sec.
494,19951027,19951027," Prince of Wales Island, AK",2 min.
495,19951117,19951117," Yarmouth, ME",5 sec.
496,19950925,19950926," Flushing, MI",2 min.
497,19950108,19950120," Enterprise, MS",15 min.
498,19950624,19950719," Sibley County, MN",5 min.
499,19950424,19950424," Beaver Creek, OR",30 min.
500,19950815,19950817," Fife, WA",3 sec.
501,19950820,19950821," Shapleigh, ME",
502,19950727,19950802," Rochester, NY",10 min.
503,19950323,19950323," Flint, MI",
504,19950707,19950708," Aurora, IL",
505,19950513,19950516," Neah Bay, WA",2 hrs.
506,19951117,19951117," Seattle, WA",20 min.
507,19950212,19950304," Gustavus, AK",5 min.
508,19950918,19950918," Alturas, CA",
509,19950412,19950712," Richmond, VA",
510,19950821,19950821," Olathe, KS",30 sec.
511,19950611,19950611," Downey, CA",1 hr.
512,19950915,19951009," New York City, NY",18 min.
513,19950725,19950730," Marion, SD",4 min.
514,19950215,19950220," Liberal, KS",8 sec.
515,19950323,19950323," Lake Havasu, AZ",30 min.
516,19950416,19950416," Woodinville, WA",45 sec.
517,19950405,19950405," Bakersfield, CA",1 hr.
518,19951117,19951118," Seattle, WA",3 hrs.
519,19950612,19950612," San Francisco, CA",30 min.
520,19950414,19950417," Tacoma, WA",
521,19950208,19950208," Renton, WA",
522,19950122,19950125," Tonasket, WA",10 min.
523,19950621,19950808," Oregon City, OR",90 min.
524,19950224,19950225," Mercer Island, WA",30 MIN.
525,19940409,19950113," Grosse Point, MI",
526,19950921,19950923," Concordia, KS",
527,19950207,19950224," Renton, WA",
528,19950826,19950827," Salida, CO",30 min.
529,19950730,19950730," San Fernando, CA",30 min.
530,19950323,19950601," Hwy. 18, WA",10 min.
531,19950919,19950919," Stanford, CA",1 min.
532,19950219,19950220," Mountlake Terrace (Seattle), WA",4 sec.
533,19950322,19950324," Everett, WA",
534,19950813,19950814," Gig Harbor, WA",15 min
535,19950815,19950816," Crescent City, CA",2 sec.
536,19950823,19950823," Anaheim, CA",3 min.
537,19950419,19950419," New Smyrna Beach, FL",10 sec.
538,19950808,19950809," Tucson, AZ",30 min.
539,19950828,19950828," Castle Rock, CO",10 min.
540,19950422,19950423," Portland, OR",
541,19950816,19950817," Sumner, WA",
542,19951014,19951016," Spokane, WA",20 sec.
543,19950922,19950922," Redmond, WA",
544,19950719,19950718," Birmingham, AL",2 min.
545,19950507,19950507," Massillon, OH",
546,19950806,19950807," Kalamazoo, MI",5 min.
547,19950909,19950909," Lake Oswego, OR",
548,19951014,19951014," Des Moines, WA",2 min.
549,19950107,19950113," Makapiu Point, HI",30 min.
550,19950401,19950403," Costa Mesa, CA",
551,19950218,19950220," Vantage, WA",
552,19950222,19950224," Auburn, WA",45 min.
553,19950413,19950413," West Memphis, TN",5 sec.
554,19950816,19950817," Williston, VT",
555,19950924,19950924," Scappoose, OR",3 min.
556,19950719,19950719," Pacific, WA",8 min.
557,19950813,19950813," Martinez, CA",1 min.
558,19951117,19951117," Tacoma, WA",
559,19951023,19951024," Johnson City, TN",15 min.
560,19950602,19950606," Hillsboro, OR",
561,19941213,19950203," Murphy, NC",
562,19951011,19951011," Huntington, WV",2 min.
563,19950915,19950915," Seattle, WA",3 hrs.
564,19950813,19950813," Putman, CT",60 sec.
565,19950614,19950614," Ann Arbor, MI",2 min.
566,19950115,19950115," McKinleyville, CA",45 min.
567,19950729,19950729," Parshallville, MI",4 sec.
568,19950503,19950503," Reno, NV",10 min.
569,19941231,19950106," Gig Harbor, WA",12 min.
570,19941224,19950115," Seattle, WA",20 sec.
571,19951031,19951031," Tacoma, WA",4 sec.
572,19950109,19950111," Memphis, TN",
573,19950512,19950513," Duarte, CA",3 min.
574,19941115,19950223," Mountain City, TN",20min.
575,19950825,19950828," Breezewood, PA",5 sec.
576,19950101,19950220," Pacific Grove, CA",
577,19950911,19950912," New London, CT",3 sec.
578,19950319,19950320," Mobile, AL",45 sec.
579,19950610,19950829," El Paso, TX",15 sec.
580,19950727,19950727," Belleville, IL",12 min.
581,19950418,19950419," Gilbertsville, PA",10 min.
582,19950311,19950312," Show Low, AZ",
583,19950720,19950723," Renton, WA",15 sec.
584,19950825,19950826," Helena, MT",2 min.
585,19950710,19950710," Bonanza, OR",60 sec.
586,19950709,19950711," Versailles, MO",5 hrs.
587,19950804,19950804," Bellevue, WA",10 sec.
588,19950422,19950426," Danville, IL",
589,19720101,19950128," Seattle, WA",30 sec.
590,19951006,19951006," Puyallup, WA",15 min.
591,19951106,19951105," Tampa, FL",30 sec.
592,19950515,19950515," W. Chicago, IL",15 min.
593,19950207,19950208," Tacoma, WA",5-7 sec
594,19950323,19950324," Spokane, WA",
595,19950803,19950804," Aurora, CO",
596,19941230,19950109," Los Angeles, CA",2 min.
597,19951005,19951011," Chinley, AZ",4 hrs.
598,19950317,19950319," Lockwood, NV",
599,19950315,19950316," Jefferson City, MO",
600,19950105,19950105," Evart, MI",10 min.
601,19950913,19950914," Silverdale, WA",2 sec.
602,19950105,19950105," Seattle, WA",5 sec.
603,19870101,19950518," Salem, OR",
604,19950207,19950207," Shawnee, OK",30 sec
605,19950430,19950501," Riverview, FL",
606,19950216,19950216," Sacramento, CA",
